user_id,item_id,rating
3097,1988,5
3097,786,5
3097,4184,5
3097,689,5
3097,1450,5
3097,2784,5
311,3052,5
311,681,5
311,1245,5
311,1901,5
311,2531,5
311,4301,5
311,3421,5
311,438,5
311,1026,5
311,1036,5
311,3989,5
311,2639,5
107,2265,4
107,5017,4
107,3961,4
107,696,5
107,4112,4
107,4056,5
1697,5111,5
1697,2521,4
1697,3312,5
1697,485,5
1697,3351,4
1697,2891,5
1697,2159,5
1697,836,5
2797,1938,5
2797,4093,5
2797,1689,5
2797,5162,5
2797,1865,5
2797,928,4
2797,2267,5
1180,3421,5
1180,5484,5
1180,2197,5
1180,5185,5
1180,2130,5
1180,5005,5
1180,2156,5
1019,5354,4
1019,200,5
1019,4067,5
1019,905,5
1019,1401,5
1019,1139,5
1019,2571,5
1019,2486,5
1019,5450,5
1019,3476,5
1019,526,5
1019,2035,5
1019,4252,5
1019,2420,5
723,4647,5
723,1196,5
723,1724,5
723,2040,5
723,1808,5
723,3659,5
723,3077,5
723,376,5
723,2875,5
723,329,5
723,3577,3
723,1406,5
2430,2007,5
2430,1682,5
2430,3704,5
2430,2131,5
2430,5394,5
2430,2060,5
2430,1450,4
2430,2322,5
3012,650,5
3012,813,5
3012,2308,5
3012,4880,4
3012,4617,4
3012,345,5
3012,4957,4
3012,5329,5
1030,4781,5
1030,59,5
1030,5165,5
1030,2122,5
1030,216,5
1030,5176,5
1030,4928,5
1030,1704,5
1016,696,4
1016,5017,4
1016,3961,4
1016,4056,5
1016,2739,5
1016,2265,5
244,2764,5
244,1604,5
244,954,5
244,1114,5
244,5081,5
244,2925,5
256,3902,5
256,56,5
256,4760,2
256,1569,5
256,772,5
256,5088,5
256,5093,5
256,4057,5
256,1999,5
256,2399,5
256,1061,5
256,2703,5
256,2723,5
1110,234,5
1110,4370,5
1110,168,5
1110,4065,5
1110,1526,5
1110,5348,5
3035,5017,4
3035,696,4
3035,4112,5
3035,1271,4
3035,2265,5
3035,2972,4
1133,696,5
1133,5017,5
1133,3961,5
1133,1271,5
1133,4028,5
1133,2265,5
2013,822,4
2013,4389,4
2013,2122,5
2013,2941,4
2013,3940,4
2013,4321,5
2013,5095,5
2013,5562,5
449,3020,5
449,2061,5
449,3903,5
449,5528,4
449,4713,4
449,2122,5
449,2941,5
449,822,5
449,5095,5
449,4321,5
2952,1094,5
2952,83,5
2952,578,5
2952,3174,5
2952,2109,5
2952,4510,5
2952,2213,5
2952,3276,4
2952,1302,5
2952,2321,5
2952,1186,4
2952,3489,5
2952,2061,3
2952,740,3
2952,3228,5
2551,5017,5
2551,696,5
2551,4112,5
2551,2972,5
2551,4028,5
2551,2282,5
1163,3020,5
1163,3521,5
1163,2687,5
1163,2061,5
1163,95,5
1163,2782,5
1163,4501,5
1163,360,5
1163,3940,5
1163,3903,5
2792,5017,4
2792,696,4
2792,1271,4
2792,2972,4
2792,4028,4
2792,2265,4
643,2291,5
643,5017,5
643,696,5
643,2739,5
643,2282,5
643,4028,5
1404,1809,5
1404,2843,5
1404,3949,3
1404,5554,5
1404,1802,3
1404,3105,5
1404,5253,5
1404,502,3
1404,5549,5
1404,3484,4
1404,3996,5
2723,2836,5
2723,2508,5
2723,5481,5
2723,3873,5
2723,2732,5
2723,5020,5
2723,4840,5
2723,2774,5
2849,440,5
2849,177,3
2849,3820,3
2849,1140,3
2849,3749,3
2849,2809,5
2849,1783,5
2849,1473,3
2849,392,5
2849,5540,5
2849,2194,5
2849,2109,5
2849,1550,4
2849,3580,5
2849,2518,3
721,355,5
721,409,3
721,5164,5
721,2835,5
721,721,5
721,1406,5
721,1309,5
721,4301,5
268,1200,5
268,4698,5
268,2811,5
268,2369,3
268,1210,5
268,5336,5
268,3216,5
2039,3454,5
2039,3058,5
2039,5175,5
2039,1957,5
2039,4154,5
2039,4636,5
2039,1546,3
2039,351,5
170,4682,5
170,5203,5
170,3648,5
170,3233,5
170,64,5
170,2802,5
2193,3276,5
2193,2763,5
2193,1770,5
2193,2727,5
2193,2659,5
2193,2006,5
2193,3613,5
2193,2532,5
2737,431,5
2737,578,5
2737,1360,5
2737,1067,3
2737,2922,4
2737,4431,4
2737,3178,4
2737,4531,5
507,4075,5
507,2780,5
507,1217,5
507,3513,5
507,781,5
507,4927,5
507,3101,4
507,1558,5
2326,715,5
2326,4223,5
2326,1831,5
2326,2871,5
2326,2808,5
2326,3535,5
2326,3690,5
2326,4122,5
191,1749,3
191,1118,4
191,3723,5
191,1281,4
191,5364,4
191,244,4
191,3120,4
191,754,4
503,483,5
503,2997,5
503,4173,5
503,2390,5
503,5369,5
503,82,4
1409,2160,4
1409,540,5
1409,4820,4
1409,717,4
1409,3170,5
1409,4152,4
1409,4895,4
1409,152,4
1820,336,4
1820,3119,3
1820,5188,4
1820,5299,4
1820,4200,5
1820,5238,5
1820,3084,5
1820,1541,5
1820,75,5
1820,4296,5
1820,5515,4
1820,2970,2
2343,2152,3
2343,3648,5
2343,2153,5
2343,4682,4
2343,5203,4
2343,1978,5
2343,4250,5
239,2685,5
239,3300,4
239,2208,3
239,178,4
239,5143,5
239,2098,5
239,2895,5
239,4572,5
2125,23,5
